4,6,1,0,0
5,6,1,0,0
6,7,1,1,0
7,8,1,1,0
8,9,1,1,0
9,10,1,1,0
10,11,1,1,0
11,12,1,1,0
12,12,1,0,0
13,12,1,0,0
14,13,1,1,0
15,13,1,0,0
16,13,1,0,0
17,13,1,0,0
18,13,1,0,0
19,14,1,1,0
20,14,1,0,0
21,14,1,0,0
22,14,1,0,0
23,15,1,1,0
24,16,1,1,0
25,17,2,1,1
26,17,2,0,0
27,17,2,0,0
28,17,2,0,0
29,18,2,1,0
30,18,2,0,0
31,19,2,1,0
32,19,2,0,0
33,19,2,0,0
34,19,2,0,0
35,19,3,0,1
36,20,3,1,0
37,22,3,2,0
38,23,3,1,0
39,25,3,2,0
40,25,3,0,0
41,26,4,1,1
42,29,4,3,0
43,32,4,3,0
44,33,4,1,0
45,34,4,1,0
46,36,4,2,0
47,39,5,3,1
48,42,5,3,0
49,43,5,1,0
50,44,5,1,0
51,47,5,3,0
52,50,5,3,0
53,53,6,3,1
54,56,6,3,0
55,57,7,1,1
56,59,7,2,0
57,63,7,4,0
58,65,9,2,2
59,66,11,1,2
60,71,12,5,1
61,76,12,5,0
62,81,14,5,2
63,82,16,1,2
64,88,17,6,1
65,95,18,7,1
66,104,18,9,0
67,109,19,5,1
68,118,21,9,2
69,127,21,9,0
70,135,24,8,3
71,145,24,10,0
72,154,26,9,2
73,165,27,11,1
74,179,28,14,1
75,188,28,9,0
76,193,29,5,1
77,200,31,7,2
78,207,34,7,3
79,220,35,13,1
80,231,37,11,2
81,240,41,9,4
82,255,43,15,2
83,267,46,12,3
84,283,51,16,5
85,299,56,16,5
86,315,62,16,6
87,334,66,19,4
88,355,68,21,2
89,374,73,19,5
90,394,76,20,3
91,415,80,21,4
92,441,83,26,3
93,460,86,19,3
94,491,91,31,5
95,518,96,27,5
96,551,99,33,3
97,585,104,34,5
98,622,110,37,6
99,663,112,41,2
100,694,117,31,5
101,733,123,39,6
102,775,128,42,5
103,811,137,36,9
104,854,144,43,7
105,893,151,39,7
106,941,159,48,8
107,989,169,48,10
108,1037,183,48,14
109,1102,195,65,12
110,1168,214,66,19
111,1230,229,62,15
112,1290,241,60,12
113,1375,256,85,15
114,1459,271,84,15
115,1549,289,90,18
116,1652,305,103,16
117,1744,329,92,24
118,1831,347,87,18
119,1947,362,116,15
120,2059,378,112,16
121,2179,399,120,21
122,2304,422,125,23
123,2427,447,123,25
124,2560,471,133,24
125,2705,502,145,31
126,2840,530,135,28
127,3012,556,172,26
128,3182,577,170,21
129,3366,621,184,44
130,3550,664,184,43
